사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
528,시장_구포시장_1774.jpg,jewelry_shop,81.24,music_studio,15.35,archive,0.85,jewelry_shop,81.24
529,시장_구포시장_1775.jpg,jail_cell,36.68,pet_shop,32.16,kennel/outdoor,20.33,jail_cell,36.68
530,시장_국제시장_1764.jpg,market/indoor,22.02,shopping_mall/indoor,15.25,arcade,8.35,market/indoor,22.02
531,시장_국제시장_1766.jpg,bazaar/outdoor,46.95,crosswalk,10.93,street,9.06,bazaar/outdoor,46.95
532,시장_기장시장_1786.jpg,bazaar/outdoor,54.7,market/outdoor,32.06,flea_market/indoor,7.54,bazaar/outdoor,54.7
533,시장_기장시장_1787.jpg,flea_market/indoor,25.12,market/outdoor,20.77,art_school,6.5,flea_market/indoor,25.12
534,시장_남대문시장_325.jpg,bazaar/outdoor,26.4,slum,18.25,butchers_shop,10.59,bazaar/outdoor,26.4
535,시장_남촌농산물도매시장_1322.jpg,market/indoor,67.85,flea_market/indoor,14.17,supermarket,8.71,market/indoor,67.85
536,시장_남촌농산물도매시장_1323.jpg,department_store,24.97,bazaar/indoor,12.03,flea_market/indoor,11.05,department_store,24.97
537,시장_남촌농산물도매시장_1324.jpg,volleyball_court/outdoor,23.41,campus,20.76,plaza,13.83,volleyball_court/outdoor,23.41
538,시장_노량진수산물도매시장_340.jpg,assembly_line,33.1,auto_factory,30.69,hardware_store,18.81,assembly_line,33.1
539,시장_노량진수산물도매시장_341.jpg,department_store,31.28,drugstore,18.39,pharmacy,10.87,department_store,31.28
540,시장_독립문 영천시장_363.jpg,diner/outdoor,24.73,restaurant_patio,11.02,coffee_shop,10.45,diner/outdoor,24.73
541,시장_동대문종합시장_330.jpg,parking_garage/outdoor,55.63,hospital,17.58,embassy,9.66,parking_garage/outdoor,55.63
542,시장_동대문종합시장_332.jpg,hospital,41.9,embassy,32.77,hotel/outdoor,5.64,hospital,41.9
543,시장_동래시장_1782.jpg,bazaar/outdoor,63.47,market/outdoor,6.86,flea_market/indoor,5.59,bazaar/outdoor,63.47
544,시장_동래시장_1783.jpg,auditorium,72.21,classroom,7.2,lecture_room,5.67,auditorium,72.21
545,시장_동래시장_1784.jpg,clothing_store,34.12,beauty_salon,9.97,department_store,4.91,clothing_store,34.12
546,시장_동묘시장_345.jpg,market/outdoor,58.34,bazaar/outdoor,22.69,downtown,4.36,market/outdoor,58.34
547,시장_동묘시장_347.jpg,street,33.86,crosswalk,17.31,bazaar/outdoor,14.15,street,33.86
548,시장_마장축산물시장_357.jpg,conference_center,23.03,legislative_chamber,19.29,stage/indoor,18.13,conference_center,23.03
549,시장_마장축산물시장_358.jpg,stadium/soccer,33.85,amphitheater,29.02,stadium/football,10.82,stadium/soccer,33.85
550,시장_마장축산물시장_359.jpg,downtown,13.95,parking_garage/outdoor,12.21,ticket_booth,8.88,downtown,13.95
551,시장_망원시장_327.jpg,recreation_room,12.56,amusement_arcade,12.32,computer_room,11.63,recreation_room,12.56
552,시장_망원시장_328.jpg,airport_terminal,23.41,pharmacy,20.04,gas_station,18.28,airport_terminal,23.41
553,시장_망원시장_329.jpg,fastfood_restaurant,32.11,candy_store,26.31,ice_cream_parlor,18.44,fastfood_restaurant,32.11
554,시장_모란민속5일장_842.jpg,booth/indoor,34.6,plaza,11.07,bazaar/outdoor,9.58,booth/indoor,34.6
555,시장_모란민속5일장_843.jpg,parking_lot,52.39,downtown,11.51,beach_house,4.65,parking_lot,52.39
556,시장_모래내시장_1316.jpg,bazaar/indoor,53.07,market/indoor,23.09,bazaar/outdoor,10.65,bazaar/indoor,53.07
557,시장_모래내시장_1317.jpg,basketball_court/indoor,25.59,stadium/soccer,15.84,martial_arts_gym,12.29,basketball_court/indoor,25.59
558,시장_목동깨비시장_351.jpg,street,18.16,bazaar/outdoor,14.61,market/outdoor,12.05,street,18.16
559,시장_목동깨비시장_352.jpg,street,64.06,bazaar/outdoor,20.84,alley,4.8,street,64.06
560,시장_목동깨비시장_353.jpg,toyshop,68.29,playroom,2.85,bazaar/outdoor,2.69,toyshop,68.29
561,시장_민락회타운시장_1798.jpg,parking_garage/outdoor,41.13,hospital,34.16,office_building,14.4,parking_garage/outdoor,41.13
562,시장_반여농산물도매시장_1779.jpg,playroom,25.35,art_studio,21.7,childs_room,9.29,playroom,25.35
563,시장_반여농산물도매시장_1780.jpg,server_room,72.22,archive,14.12,kennel/outdoor,1.34,server_room,72.22
564,시장_반여농산물도매시장_1781.jpg,parking_lot,25.55,residential_neighborhood,17.41,industrial_area,13.21,parking_lot,25.55
565,시장_발안만세시장_875.jpg,booth/indoor,21.46,art_gallery,15.09,kindergarden_classroom,12.55,booth/indoor,21.46
566,시장_발안만세시장_876.jpg,archive,83.95,server_room,4.6,locker_room,2.83,archive,83.95
567,시장_방산시장_360.jpg,bazaar/outdoor,32.15,market/outdoor,7.73,street,7.47,bazaar/outdoor,32.15
568,시장_방산시장_361.jpg,bazaar/outdoor,57.6,slum,30.61,market/outdoor,4.38,bazaar/outdoor,57.6
569,시장_방산시장_362.jpg,airplane_cabin,43.76,storage_room,11.24,car_interior,9.01,airplane_cabin,43.76
570,시장_부산진시장_1767.jpg,office,30.64,office_cubicles,11.85,nursing_home,9.68,office,30.64
571,시장_부산진시장_1768.jpg,nursing_home,20.05,office,16.34,lobby,11.51,nursing_home,20.05
572,시장_부산진시장_1769.jpg,highway,32.61,downtown,26.92,lock_chamber,12.24,highway,32.61
573,시장_부전시장_1758.jpg,nursery,17.94,playground,13.12,beauty_salon,13.02,nursery,17.94
574,시장_부전시장_1759.jpg,beauty_salon,53.28,ice_cream_parlor,14.72,nursery,4.21,beauty_salon,53.28
575,시장_부전시장_1760.jpg,candy_store,54.0,market/outdoor,18.83,gift_shop,6.23,candy_store,54.0
576,시장_부평깡통시장_1761.jpg,delicatessen,19.41,food_court,17.95,fastfood_restaurant,11.01,delicatessen,19.41
577,시장_부평깡통시장_1762.jpg,diner/outdoor,16.45,shopfront,12.81,general_store/outdoor,11.84,diner/outdoor,16.45
578,시장_부평깡통시장_1763.jpg,market/indoor,43.66,bazaar/indoor,31.01,arcade,8.3,market/indoor,43.66
579,시장_부평종합시장_1325.jpg,market/indoor,28.92,bazaar/indoor,21.31,market/outdoor,18.3,market/indoor,28.92
580,시장_삼미시장_845.jpg,general_store/indoor,44.58,delicatessen,8.68,candy_store,5.84,general_store/indoor,44.58
581,시장_삼미시장_846.jpg,supermarket,41.35,delicatessen,22.97,department_store,14.73,supermarket,41.35
582,시장_삼산농산물도매시장_1346.jpg,clean_room,69.28,server_room,14.03,office_cubicles,1.99,clean_room,69.28
583,시장_삼산농산물도매시장_1347.jpg,lock_chamber,26.25,aqueduct,8.47,beach_house,7.0,lock_chamber,26.25
584,시장_삼산농산물도매시장_1348.jpg,downtown,23.72,industrial_area,16.83,roof_garden,10.29,downtown,23.72
585,시장_서면시장_1795.jpg,arcade,28.7,market/indoor,22.23,bazaar/indoor,19.4,arcade,28.7
586,시장_서울풍물시장_354.jpg,legislative_chamber,98.14,office,0.91,conference_center,0.42,legislative_chamber,98.14
587,시장_서울풍물시장_355.jpg,shopfront,13.37,jewelry_shop,9.79,drugstore,7.41,shopfront,13.37
588,시장_서울풍물시장_356.jpg,florist_shop/indoor,25.27,rainforest,10.15,field_road,10.08,florist_shop/indoor,25.27
589,시장_서원시장_1791.jpg,arcade,47.88,bazaar/indoor,7.63,fastfood_restaurant,7.17,arcade,47.88
590,시장_성남중앙공설시장_878.jpg,parking_garage/outdoor,33.01,hotel/outdoor,19.12,hospital,16.35,parking_garage/outdoor,33.01
591,시장_성남중앙공설시장_880.jpg,supermarket,62.76,department_store,20.59,market/indoor,4.97,supermarket,62.76
