사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),최상위라벨,최상위확률(%)
685,유적지_제물포구락부_1254.jpg,house,31.74,cottage,10.32,synagogue/outdoor,8.45,house,31.74
686,"육류,고기_골목안정원_404.jpg",hospital,68.24,building_facade,8.16,office_building,7.8,hospital,68.24
687,"육류,고기_골목흑돼지_382.jpg",diner/outdoor,31.08,fastfood_restaurant,17.37,ice_cream_parlor,6.95,diner/outdoor,31.08
688,의류판매_브런치_1511.jpg,restaurant,37.98,bakery/shop,14.73,cafeteria,9.66,restaurant,37.98
689,인천1호선_검단호수공원역 인천1호선_1120.jpg,booth/indoor,17.05,office_cubicles,9.1,server_room,8.83,booth/indoor,17.05
690,인터넷쇼핑몰_선데이브런치_1049.jpg,bar,34.04,restaurant,31.29,beer_garden,14.71,bar,34.04
691,입출구_부산박물관 정문_1660.jpg,japanese_garden,44.43,pagoda,32.92,mausoleum,13.22,japanese_garden,44.43
692,입출구_서서울 호수공원 입구마당_148.jpg,parking_lot,47.11,plaza,14.39,zen_garden,7.5,parking_lot,47.11
693,입출구_호수공원 출입구1_1128.jpg,office_building,31.04,skyscraper,24.18,apartment_building/outdoor,11.13,office_building,31.04
694,입출구_호수공원 출입구1_1129.jpg,science_museum,25.3,repair_shop,20.53,engine_room,13.79,science_museum,25.3
695,입출구_호수공원 출입구1_1130.jpg,formal_garden,79.94,topiary_garden,2.74,botanical_garden,1.68,formal_garden,79.94
696,전망대_G타워전망대_1422.jpg,bridge,14.73,amusement_park,8.26,carrousel,7.73,bridge,14.73
697,전망대_G타워전망대_1423.jpg,downtown,21.58,industrial_area,21.46,skyscraper,17.14,downtown,21.58
698,전망대_N서울타워_408.jpg,tower,79.32,water_tower,14.83,lighthouse,1.97,tower,79.32
699,전망대_N서울타워_409.jpg,booth/indoor,80.51,conference_center,12.65,legislative_chamber,1.98,booth/indoor,80.51
700,전망대_N서울타워_410.jpg,tower,68.49,skyscraper,6.71,downtown,4.77,tower,68.49
701,전망대_가람누리 전망대_960.jpg,reception,16.29,museum/indoor,8.07,booth/indoor,6.39,reception,16.29
702,전망대_가람누리 전망대_961.jpg,candy_store,78.04,childs_room,4.99,bakery/shop,2.23,candy_store,78.04
703,전망대_감천문화마을 하늘마루전망대_1886.jpg,booth/indoor,30.69,drugstore,25.18,pharmacy,10.41,booth/indoor,30.69
704,전망대_강화제적봉 평화전망대_1400.jpg,ticket_booth,92.07,bus_station/indoor,0.86,train_station/platform,0.78,ticket_booth,92.07
705,전망대_강화제적봉 평화전망대_1401.jpg,beach_house,30.19,parking_garage/outdoor,19.29,hospital,8.03,beach_house,30.19
706,전망대_강화제적봉 평화전망대_1402.jpg,sky,30.24,water_tower,7.34,ice_shelf,5.14,sky,30.24
707,전망대_광진교8번가_417.jpg,library/indoor,36.52,classroom,9.14,archive,7.58,library/indoor,36.52
708,전망대_광진교8번가_418.jpg,greenhouse/outdoor,91.68,greenhouse/indoor,3.43,arch,0.57,greenhouse/outdoor,91.68
709,전망대_광진교8번가_419.jpg,artists_loft,16.37,lobby,13.95,airport_terminal,13.48,artists_loft,16.37
710,전망대_교동도 망향대_1407.jpg,shopping_mall/indoor,47.52,general_store/indoor,11.04,pet_shop,7.18,shopping_mall/indoor,47.52
711,전망대_교동도 망향대_1408.jpg,pet_shop,27.81,general_store/indoor,18.08,gift_shop,14.35,pet_shop,27.81
712,전망대_구리타워_940.jpg,server_room,9.71,field/cultivated,6.19,office,5.46,server_room,9.71
713,전망대_구리타워_941.jpg,water_tower,76.38,tower,19.96,lighthouse,2.59,water_tower,76.38
714,전망대_금광호수하늘전망대_963.jpg,pet_shop,25.0,amusement_arcade,23.19,phone_booth,20.49,pet_shop,25.0
715,전망대_금광호수하늘전망대_964.jpg,lake/natural,28.35,valley,16.16,river,10.97,lake/natural,28.35
716,전망대_금광호수하늘전망대_965.jpg,parking_garage/outdoor,49.5,embassy,11.66,pagoda,8.04,parking_garage/outdoor,49.5
717,전망대_김포국제공항 국내선청사 공항전망대_435.jpg,runway,71.93,airfield,16.01,hangar/outdoor,5.27,runway,71.93
718,전망대_김포국제공항 국내선청사 공항전망대_436.jpg,runway,52.36,airfield,33.39,landing_deck,13.55,runway,52.36
719,전망대_낙산공원 제1전망광장_426.jpg,promenade,22.2,aqueduct,6.35,moat/water,5.87,promenade,22.2
720,전망대_낙산공원 제1전망광장_428.jpg,entrance_hall,19.45,crosswalk,18.5,plaza,15.87,entrance_hall,19.45
721,전망대_대항전망대_1881.jpg,lagoon,31.75,coast,14.68,marsh,7.06,lagoon,31.75
722,전망대_대항전망대_1882.jpg,operating_room,73.26,hospital_room,14.0,veterinarians_office,6.96,operating_room,73.26
723,전망대_도라산전망대_942.jpg,japanese_garden,74.27,fishpond,14.39,pond,5.64,japanese_garden,74.27
724,전망대_도라산전망대_943.jpg,hospital,34.28,campus,20.6,industrial_area,12.66,hospital,34.28
725,전망대_도라산전망대_944.jpg,tree_farm,81.03,rice_paddy,7.4,orchard,1.75,tree_farm,81.03
726,전망대_동백섬 누리마루전망대_1878.jpg,harbor,20.54,boathouse,15.36,pier,8.91,harbor,20.54
727,전망대_동백섬 누리마루전망대_1879.jpg,harbor,44.22,pier,14.44,coast,7.83,harbor,44.22
728,전망대_동백섬 누리마루전망대_1880.jpg,beach,20.42,harbor,15.82,coast,11.94,beach,20.42
729,전망대_동생말 전망대_1863.jpg,gas_station,30.94,parking_lot,12.95,residential_neighborhood,8.15,gas_station,30.94
730,전망대_동생말 전망대_1864.jpg,harbor,38.24,pier,9.62,promenade,9.3,harbor,38.24
731,전망대_동생말 전망대_1865.jpg,greenhouse/outdoor,26.78,bridge,10.84,promenade,3.92,greenhouse/outdoor,26.78
732,전망대_동작대교전망쉼터_425.jpg,lock_chamber,54.17,boat_deck,18.31,harbor,7.52,lock_chamber,54.17
733,전망대_마장호수 전망대_936.jpg,ice_floe,21.32,childs_room,21.01,ice_shelf,17.88,ice_floe,21.32
734,전망대_마장호수 전망대_937.jpg,classroom,39.43,kindergarden_classroom,23.39,recreation_room,10.31,classroom,39.43
735,전망대_무무대전망대_432.jpg,harbor,22.96,sky,11.78,downtown,8.33,harbor,22.96
736,전망대_무무대전망대_433.jpg,balcony/interior,40.35,promenade,12.94,village,11.02,balcony/interior,40.35
737,전망대_무무대전망대_434.jpg,windmill,27.48,sky,25.45,rope_bridge,21.37,windmill,27.48
738,전망대_백운산전망대_1443.jpg,valley,40.4,mountain_path,25.03,mountain,6.96,valley,40.4
739,전망대_백운산전망대_1444.jpg,balcony/interior,48.14,promenade,8.33,boardwalk,5.75,balcony/interior,48.14
740,전망대_부산엑스더스카이_1851.jpg,skyscraper,48.88,downtown,21.62,office_building,13.07,skyscraper,48.88
741,전망대_부산엑스더스카이_1852.jpg,shoe_shop,46.47,drugstore,13.27,pharmacy,8.12,shoe_shop,46.47
742,전망대_부산엑스더스카이_1853.jpg,server_room,22.68,shower,9.87,fountain,8.16,server_room,22.68
743,전망대_부산타워_1857.jpg,industrial_area,18.56,harbor,13.13,oilrig,12.37,industrial_area,18.56
744,전망대_부산타워_1859.jpg,skyscraper,44.53,downtown,20.49,office_building,10.87,skyscraper,44.53
745,전망대_북서울꿈의숲 전망대_446.jpg,ticket_booth,60.17,drugstore,3.89,pharmacy,3.86,ticket_booth,60.17
746,전망대_서울스카이_411.jpg,gymnasium/indoor,98.42,airport_terminal,0.76,martial_arts_gym,0.42,gymnasium/indoor,98.42
747,전망대_서울스카이_412.jpg,jail_cell,27.26,bridge,12.71,rope_bridge,9.84,jail_cell,27.26
748,전망대_서울스카이_413.jpg,boat_deck,35.18,ocean,17.83,balcony/interior,7.32,boat_deck,35.18
749,전망대_선유도공원 선유도전망대_429.jpg,amusement_park,58.72,water_park,20.47,bridge,9.55,amusement_park,58.72
750,전망대_선유도공원 선유도전망대_430.jpg,botanical_garden,50.49,rainforest,27.94,vegetable_garden,9.84,botanical_garden,50.49
751,전망대_선유도공원 선유도전망대_431.jpg,parking_garage/outdoor,40.32,roof_garden,15.4,balcony/interior,14.12,parking_garage/outdoor,40.32
752,전망대_송산그린시티전망대_952.jpg,field/cultivated,20.22,wind_farm,15.02,rice_paddy,9.6,field/cultivated,20.22
753,전망대_수원산정상전망대_957.jpg,residential_neighborhood,53.39,topiary_garden,5.7,yard,3.64,residential_neighborhood,53.39
754,전망대_수원산정상전망대_959.jpg,amusement_arcade,90.72,recreation_room,8.0,toyshop,0.42,amusement_arcade,90.72
755,전망대_시화달전망대 시화이루나타워_930.jpg,ticket_booth,16.12,booth/indoor,10.59,elevator/door,6.87,ticket_booth,16.12
756,전망대_아라마루전망대_1403.jpg,jewelry_shop,20.93,clean_room,7.79,beauty_salon,7.59,jewelry_shop,20.93
757,전망대_아라마루전망대_1404.jpg,campsite,96.11,arch,0.51,stage/outdoor,0.46,campsite,96.11
758,전망대_아라마루전망대_1405.jpg,booth/indoor,83.3,pharmacy,4.85,drugstore,3.47,booth/indoor,83.3
759,전망대_아라타워_1409.jpg,parking_lot,34.44,driveway,29.16,junkyard,11.83,parking_lot,34.44
760,전망대_아라타워_1410.jpg,parking_lot,76.05,driveway,4.6,raceway,2.74,parking_lot,76.05
761,전망대_아라타워_1411.jpg,parking_lot,46.29,repair_shop,32.96,driveway,4.09,parking_lot,46.29
762,전망대_아라폭포전망대_1430.jpg,booth/indoor,62.05,conference_center,9.71,pharmacy,4.17,booth/indoor,62.05
763,전망대_아라폭포전망대_1431.jpg,office_building,22.23,downtown,22.22,hotel/outdoor,17.72,office_building,22.23
764,전망대_아라폭포전망대_1432.jpg,sky,96.01,wind_farm,2.12,windmill,0.4,sky,96.01
765,전망대_아미산전망대_1860.jpg,industrial_area,15.34,windmill,11.59,wind_farm,8.76,industrial_area,15.34
766,전망대_아미산전망대_1861.jpg,sky,24.32,office_building,11.04,boat_deck,8.49,sky,24.32
767,전망대_아미산전망대_1862.jpg,childs_room,85.49,kindergarden_classroom,4.08,nursery,3.98,childs_room,85.49
768,전망대_에코델타시티전망대_1877.jpg,canal/natural,19.17,moat/water,13.35,golf_course,8.8,canal/natural,19.17
769,전망대_영도하늘전망대_1869.jpg,amusement_park,17.57,tree_house,16.21,bridge,10.99,amusement_park,17.57
770,전망대_영종씨사이드 바다전망대_1435.jpg,park,51.23,campus,21.05,botanical_garden,6.37,park,51.23
771,전망대_오두산통일전망대_921.jpg,rainforest,13.3,rope_bridge,12.66,bridge,9.25,rainforest,13.3
772,전망대_오두산통일전망대_922.jpg,clean_room,38.78,art_gallery,17.47,server_room,12.04,clean_room,38.78
773,전망대_오륙도스카이워크_1842.jpg,boat_deck,53.2,balcony/interior,9.38,harbor,7.26,boat_deck,53.2
774,전망대_오륙도스카이워크_1843.jpg,islet,72.25,lagoon,16.5,coast,4.1,islet,72.25
775,전망대_오션스코프 경관조형물_1437.jpg,amusement_park,23.99,motel,8.88,stage/indoor,7.29,amusement_park,23.99
776,전망대_오션스코프 경관조형물_1438.jpg,museum/outdoor,27.7,roof_garden,13.61,windmill,11.17,museum/outdoor,27.7
777,전망대_용유하늘전망대_1439.jpg,escalator/indoor,14.34,balcony/interior,12.44,science_museum,4.37,escalator/indoor,14.34
778,전망대_용유하늘전망대_1440.jpg,booth/indoor,18.82,topiary_garden,10.5,home_theater,4.42,booth/indoor,18.82
779,전망대_용유하늘전망대_1441.jpg,balcony/interior,86.93,balcony/exterior,2.92,boat_deck,1.87,balcony/interior,86.93
780,전망대_월미공원 전망대_1425.jpg,bridge,92.89,viaduct,1.69,ice_shelf,1.37,bridge,92.89
781,전망대_월미공원 전망대_1426.jpg,harbor,49.87,skyscraper,8.09,islet,4.57,harbor,49.87
782,전망대_인천공항전망대_1414.jpg,runway,87.37,airfield,4.81,heliport,4.59,runway,87.37
783,전망대_임진각관광지_924.jpg,archive,93.02,server_room,1.26,museum/indoor,0.91,archive,93.02
784,전망대_임진각관광지_925.jpg,kindergarden_classroom,39.49,booth/indoor,39.1,childs_room,5.91,kindergarden_classroom,39.49
785,전망대_임진각관광지_926.jpg,skyscraper,21.58,tower,20.65,industrial_area,9.26,skyscraper,21.58
786,전망대_장화리 일몰 조망지_1418.jpg,islet,51.27,ocean,15.03,coast,12.81,islet,51.27
787,전망대_장화리 일몰 조망지_1419.jpg,ocean,33.77,coast,20.35,beach,13.51,ocean,33.77
788,전망대_장화리 일몰 조망지_1420.jpg,islet,43.94,ocean,23.91,coast,15.04,islet,43.94
789,전망대_정동전망대_414.jpg,downtown,51.21,skyscraper,23.7,office_building,5.72,downtown,51.21
790,전망대_정동전망대_415.jpg,temple/asia,45.28,pagoda,12.94,palace,12.45,temple/asia,45.28
791,전망대_청사포다릿돌전망대_1848.jpg,park,24.77,campsite,14.92,lawn,13.16,park,24.77
792,전망대_청사포다릿돌전망대_1850.jpg,coast,19.28,ocean,19.17,bridge,15.38,coast,19.28
793,전망대_청학배수지 전망대_1872.jpg,promenade,52.0,boardwalk,8.13,ocean,4.76,promenade,52.0
794,전망대_청학배수지 전망대_1873.jpg,hot_spring,22.76,amphitheater,21.18,construction_site,9.11,hot_spring,22.76
795,전망대_태종대 전망대_1845.jpg,atrium/public,20.85,lobby,15.59,artists_loft,7.88,atrium/public,20.85
796,전망대_태풍전망대_948.jpg,pagoda,20.74,temple/asia,8.44,formal_garden,7.69,pagoda,20.74
797,전망대_태풍전망대_950.jpg,pagoda,52.08,temple/asia,17.91,gazebo/exterior,10.95,pagoda,52.08
798,전망대_하남유니온타워_945.jpg,industrial_area,22.96,water_tower,11.32,tower,10.69,industrial_area,22.96
799,전망대_하남유니온타워_946.jpg,airport_terminal,38.92,valley,19.3,mountain,8.03,airport_terminal,38.92
800,전망대_하남유니온타워_947.jpg,water_tower,16.47,lighthouse,15.78,tower,12.08,water_tower,16.47
801,전망대_하늘전망대_442.jpg,sky,7.58,bridge,6.69,coast,6.34,sky,7.58
802,전망대_화개산 전망대_1427.jpg,bridge,26.48,canal/urban,12.34,harbor,10.5,bridge,26.48
803,전망대_화개산 전망대_1428.jpg,ocean,18.12,bridge,17.3,harbor,17.2,ocean,18.12
804,전망대_화개산 전망대_1429.jpg,wind_farm,32.79,windmill,18.82,bridge,18.4,wind_farm,32.79
805,전망대_황령산전망쉼터_1854.jpg,industrial_area,12.5,beach_house,8.51,lock_chamber,5.72,industrial_area,12.5
806,전망대_황령산전망쉼터_1855.jpg,bakery/shop,15.53,coffee_shop,7.63,natural_history_museum,7.49,bakery/shop,15.53
807,전망대_황령산전망쉼터_1856.jpg,construction_site,27.73,industrial_area,24.06,oilrig,10.1,construction_site,27.73
808,전통찻집_비비비당_1464.jpg,parking_garage/outdoor,63.05,office_building,10.4,embassy,5.65,parking_garage/outdoor,63.05
809,전통찻집_비비비당_1465.jpg,clean_room,48.49,igloo,4.3,ice_shelf,4.29,clean_room,48.49
810,"제과,베이커리_금정사계_1538.jpg",zen_garden,37.14,repair_shop,11.24,jewelry_shop,6.81,zen_garden,37.14
811,"제과,베이커리_금정사계_1540.jpg",wet_bar,26.64,reception,16.45,kitchen,14.55,wet_bar,26.64
812,"제과,베이커리_도쿄팡야 대구범어점_1920.jpg",museum/indoor,10.69,igloo,7.73,ice_skating_rink/indoor,7.05,museum/indoor,10.69
813,"제과,베이커리_도쿄팡야 대구범어점_1921.jpg",aquarium,49.77,nursery,8.22,discotheque,7.75,aquarium,49.77
814,"제과,베이커리_르배 본점_1940.jpg",diner/outdoor,74.73,restaurant_patio,3.45,general_store/outdoor,3.44,diner/outdoor,74.73
815,"제과,베이커리_마시안제빵소_973.jpg",ocean,39.68,coast,24.65,beach,12.32,ocean,39.68
816,"제과,베이커리_아우어베이커리 도산본점_83.jpg",parking_garage/outdoor,41.0,library/outdoor,11.69,office_building,10.4,parking_garage/outdoor,41.0
817,"제과,베이커리_아우어베이커리 도산본점_84.jpg",coffee_shop,41.64,beauty_salon,26.06,pharmacy,9.58,coffee_shop,41.64
818,"제과,베이커리_야자수 브런치베이커리카페_529.jpg",butchers_shop,41.24,delicatessen,20.58,bakery/shop,16.08,butchers_shop,41.24
819,"제과,베이커리_오월의종 타임스퀘어점_80.jpg",kindergarden_classroom,50.45,archive,11.25,classroom,10.4,kindergarden_classroom,50.45
820,"제과,베이커리_하우스베이커리_565.jpg",florist_shop/indoor,32.58,candy_store,24.78,bar,11.52,florist_shop/indoor,32.58
821,"족발,보쌈_골목족발_918.jpg",nursing_home,21.96,train_interior,11.9,bus_interior,11.47,nursing_home,21.96
822,주차장_대구미술관 주차장_1998.jpg,physics_laboratory,33.46,music_studio,27.11,clean_room,8.82,physics_laboratory,33.46
823,주차장_대구수목원 제3주차장_1971.jpg,recreation_room,41.09,playroom,31.46,amusement_arcade,9.87,recreation_room,41.09
824,주차장_대구수목원 제3주차장_1972.jpg,golf_course,39.68,botanical_garden,18.42,park,5.76,golf_course,39.68
825,주차장_대구수목원 제3주차장_1973.jpg,highway,62.07,field/wild,3.25,raceway,3.08,highway,62.07
826,주차장_부산박물관 주차장_1654.jpg,park,20.82,orchard,16.5,botanical_garden,13.75,park,20.82
827,참치회_골목참치_396.jpg,delicatessen,11.58,archaelogical_excavation,10.51,supermarket,5.33,delicatessen,11.58
828,참치회_골목참치_397.jpg,jewelry_shop,37.25,delicatessen,11.54,candy_store,6.56,jewelry_shop,37.25
829,참치회_골목참치_398.jpg,delicatessen,36.82,butchers_shop,15.46,candy_store,14.52,delicatessen,36.82
830,체험학습장_인천수목원 유아숲체험원_1095.jpg,picnic_area,91.92,park,3.43,campsite,0.98,picnic_area,91.92
831,체험학습장_인천수목원 유아숲체험원_1097.jpg,picnic_area,24.9,playground,15.56,patio,14.31,picnic_area,24.9
832,추어_골목추어탕 본점_893.jpg,delicatessen,99.01,supermarket,0.31,bakery/shop,0.14,delicatessen,99.01
833,추어_골목추어탕 본점_894.jpg,bakery/shop,53.14,delicatessen,23.13,fastfood_restaurant,6.96,bakery/shop,53.14
834,추어_골목추어탕 본점_895.jpg,fishpond,49.57,delicatessen,23.01,candy_store,4.48,fishpond,49.57
835,축제_대구수목원국화전시회_1968.jpg,roof_garden,29.7,vegetable_garden,20.38,formal_garden,13.0,roof_garden,29.7
836,축제_대구수목원국화전시회_1969.jpg,forest_road,62.01,zen_garden,8.59,driveway,8.03,forest_road,62.01
837,축제_대구수목원국화전시회_1970.jpg,zen_garden,91.64,roof_garden,5.12,greenhouse/indoor,1.97,zen_garden,91.64
838,카페_고양이똥 브런치_1.jpg,archive,28.64,booth/indoor,27.93,museum/indoor,13.43,archive,28.64
839,카페_고양이똥 브런치_2.jpg,booth/indoor,31.95,archive,9.17,drugstore,5.96,booth/indoor,31.95
840,카페_고양이똥 브런치_3.jpg,booth/indoor,18.72,archive,15.27,art_gallery,12.74,booth/indoor,18.72
841,카페_노티스_1473.jpg,harbor,28.22,promenade,13.18,beach_house,7.36,harbor,28.22
842,카페_노티스_1474.jpg,home_theater,21.73,living_room,4.76,bow_window/indoor,4.58,home_theater,21.73
843,카페_대구수목원 카페_1986.jpg,fastfood_restaurant,53.7,coffee_shop,9.43,chemistry_lab,4.25,fastfood_restaurant,53.7
844,카페_대구수목원 카페_1988.jpg,office,45.5,office_cubicles,19.89,home_office,13.97,office,45.5
845,카페_대연골목_1840.jpg,booth/indoor,99.0,conference_center,0.23,office,0.07,booth/indoor,99.0
846,카페_데이지브런치카페_537.jpg,bakery/shop,24.87,ice_cream_parlor,24.07,restaurant,15.71,bakery/shop,24.87
847,카페_라메르베이커리카페_1071.jpg,ice_cream_parlor,22.83,drugstore,14.75,ice_shelf,8.22,ice_cream_parlor,22.83
848,카페_라메르베이커리카페_1072.jpg,lock_chamber,13.84,canal/natural,11.59,river,9.81,lock_chamber,13.84
849,카페_라몽드브런치카페_1923.jpg,hospital,24.58,ticket_booth,10.58,lawn,5.58,hospital,24.58
850,카페_레드브릿지_555.jpg,hospital,58.25,office_building,7.11,building_facade,6.62,hospital,58.25
851,카페_레드브릿지_556.jpg,balcony/interior,50.03,bow_window/indoor,11.12,porch,3.37,balcony/interior,50.03
852,카페_매화마름_1079.jpg,palace,23.57,pagoda,19.99,temple/asia,19.14,palace,23.57
853,카페_메이드림_1068.jpg,formal_garden,39.51,japanese_garden,6.19,pond,5.11,formal_garden,39.51
854,카페_메이드림_1069.jpg,arena/performance,20.95,shower,12.87,stage/indoor,12.2,arena/performance,20.95
855,카페_메이드림_1070.jpg,campus,13.61,synagogue/outdoor,9.66,bowling_alley,7.82,campus,13.61
856,카페_몬떼델피노_558.jpg,restaurant_patio,56.98,diner/outdoor,11.46,coffee_shop,11.32,restaurant_patio,56.98
857,카페_바다보다_1086.jpg,auditorium,59.72,movie_theater/indoor,29.99,lecture_room,3.76,auditorium,59.72
858,카페_바다보다_1087.jpg,butchers_shop,56.01,pet_shop,19.04,fishpond,5.46,butchers_shop,56.01
859,카페_바다보다_1088.jpg,grotto,32.5,underwater/ocean_deep,30.23,aquarium,26.5,grotto,32.5
860,카페_발리다_450.jpg,ballroom,41.53,orchestra_pit,14.52,stage/indoor,13.58,ballroom,41.53
861,카페_발리다_451.jpg,ballroom,58.91,stage/indoor,11.58,stage/outdoor,5.71,ballroom,58.91
862,카페_발리다_452.jpg,stage/indoor,63.16,stage/outdoor,14.49,ballroom,10.7,stage/indoor,63.16
863,카페_브런치가든 계양구청점_1040.jpg,delicatessen,31.82,market/outdoor,27.0,pizzeria,16.93,delicatessen,31.82
864,카페_브런치위치_522.jpg,elevator/door,68.6,elevator_lobby,21.24,bank_vault,4.3,elevator/door,68.6
865,카페_브런치위치_523.jpg,stable,35.96,arena/rodeo,11.02,parking_garage/indoor,6.41,stable,35.96
866,카페_브런치카페 이안_1530.jpg,bakery/shop,68.7,delicatessen,14.52,restaurant,6.08,bakery/shop,68.7
867,카페_브런치포레_517.jpg,dining_hall,31.16,food_court,13.0,cafeteria,11.43,dining_hall,31.16
868,카페_블루트렁크 오이도거북섬본점_465.jpg,bakery/shop,43.12,delicatessen,42.67,pizzeria,3.65,bakery/shop,43.12
869,카페_블루트렁크 오이도거북섬본점_466.jpg,butchers_shop,36.72,delicatessen,25.98,market/outdoor,18.3,butchers_shop,36.72
870,카페_블루트렁크 오이도거북섬본점_467.jpg,delicatessen,50.1,ice_cream_parlor,38.5,bakery/shop,4.04,delicatessen,50.1
871,카페_비파티세리 공덕점_66.jpg,temple/asia,56.36,pagoda,21.23,palace,10.43,temple/asia,56.36
872,카페_빌라드파넬_572.jpg,swimming_pool/outdoor,82.44,swimming_pool/indoor,6.89,balcony/exterior,3.01,swimming_pool/outdoor,82.44
873,카페_스노잉클라우드_1484.jpg,ocean,23.09,coast,15.22,sky,7.4,ocean,23.09
874,카페_스노잉클라우드_1486.jpg,booth/indoor,10.6,storage_room,10.22,art_gallery,8.6,booth/indoor,10.6
875,카페_앵커커피로스터즈_474.jpg,restaurant,10.26,coffee_shop,9.79,delicatessen,7.43,restaurant,10.26
876,카페_어반브런치_501.jpg,delicatessen,40.14,bakery/shop,24.01,restaurant,16.64,delicatessen,40.14
877,카페_엠클리프_982.jpg,industrial_area,32.97,water_tower,17.31,construction_site,15.13,industrial_area,32.97
878,카페_오라카페&브런치_1043.jpg,bakery/shop,50.49,restaurant,16.7,delicatessen,10.65,bakery/shop,50.49
879,카페_인더매스 삼덕_1932.jpg,beer_garden,31.08,coffee_shop,16.41,ice_cream_parlor,15.55,beer_garden,31.08
880,카페_인더매스 삼덕_1933.jpg,coffee_shop,17.07,utility_room,11.93,art_studio,8.54,coffee_shop,17.07
881,카페_인더매스 삼덕_1934.jpg,art_school,17.89,coffee_shop,14.26,biology_laboratory,11.09,art_school,17.89
882,카페_지금이곳_1059.jpg,restaurant,20.43,beer_garden,19.81,coffee_shop,17.13,restaurant,20.43
883,카페_지금이곳_1060.jpg,balcony/interior,48.14,promenade,8.33,boardwalk,5.75,balcony/interior,48.14
884,카페_지금이곳_1061.jpg,kennel/outdoor,8.62,temple/asia,8.28,house,6.1,kennel/outdoor,8.62
885,카페_차덕분_975.jpg,balcony/interior,9.36,art_gallery,7.59,bedroom,6.97,balcony/interior,9.36
886,카페_차덕분_976.jpg,bow_window/indoor,19.8,office,14.83,library/indoor,7.09,bow_window/indoor,19.8
887,카페_차덕분_977.jpg,hospital,52.24,parking_garage/outdoor,23.97,office_building,12.73,hospital,52.24
888,카페_칠암사계_1545.jpg,hangar/outdoor,38.52,industrial_area,26.54,loading_dock,17.09,hangar/outdoor,38.52
889,카페_칠암사계_1546.jpg,airport_terminal,16.45,booth/indoor,11.58,office_cubicles,11.49,airport_terminal,16.45
890,카페_카페 메르디_985.jpg,synagogue/outdoor,14.61,museum/outdoor,11.73,kasbah,9.37,synagogue/outdoor,14.61
891,카페_카페 메르디_986.jpg,ocean,24.84,beach,19.74,coast,14.02,ocean,24.84
892,카페_카페109하우스_987.jpg,arch,54.68,catacomb,10.46,bridge,5.13,arch,54.68
893,카페_카페109하우스_988.jpg,veterinarians_office,95.22,kennel/outdoor,3.59,pet_shop,0.51,veterinarians_office,95.22
894,카페_카페385_1460.jpg,bakery/shop,59.65,coffee_shop,29.21,restaurant,2.91,bakery/shop,59.65
895,카페_카페385_1461.jpg,parking_garage/outdoor,12.58,museum/outdoor,10.27,office_building,8.73,parking_garage/outdoor,12.58
896,카페_카페윤_1454.jpg,balcony/interior,54.59,beach_house,21.8,bow_window/indoor,8.94,balcony/interior,54.59
897,카페_카페윤_1455.jpg,coffee_shop,21.86,ocean,12.24,coast,10.01,coffee_shop,21.86
898,카페_카페윤_1456.jpg,industrial_area,23.9,office_building,9.09,hospital,8.69,industrial_area,23.9
899,카페_카펠라_1901.jpg,elevator_lobby,11.24,server_room,6.48,science_museum,5.86,elevator_lobby,11.24
900,카페_코스모40_1058.jpg,library/outdoor,34.32,balcony/exterior,26.62,parking_garage/outdoor,10.86,library/outdoor,34.32
901,카페_쿠타팜테라스 브런치카페_1496.jpg,booth/indoor,32.76,candy_store,22.62,bakery/shop,8.73,booth/indoor,32.76
902,카페_쿠타팜테라스 브런치카페_1497.jpg,candy_store,26.47,delicatessen,11.33,booth/indoor,9.55,candy_store,26.47
903,카페_토크라피_969.jpg,coffee_shop,31.12,ice_cream_parlor,16.15,delicatessen,7.07,coffee_shop,31.12
904,카페_토크라피_970.jpg,coffee_shop,53.09,ice_cream_parlor,45.22,bar,0.62,coffee_shop,53.09
905,카페_토크라피_971.jpg,ice_cream_parlor,49.89,coffee_shop,48.31,restaurant,1.22,ice_cream_parlor,49.89
906,카페_티아이티에프_1956.jpg,booth/indoor,28.61,ice_cream_parlor,12.25,ticket_booth,8.8,booth/indoor,28.61
907,카페_티아이티에프_1957.jpg,bazaar/outdoor,13.7,medina,12.82,plaza,11.2,bazaar/outdoor,13.7
908,카페_티아이티에프_1958.jpg,balcony/exterior,34.66,hospital,8.08,apartment_building/outdoor,7.42,balcony/exterior,34.66
909,카페_파이브어클락_472.jpg,coffee_shop,67.66,bakery/shop,22.69,ice_cream_parlor,4.41,coffee_shop,67.66
910,카페_포레스트아웃팅스 일산본점_542.jpg,loading_dock,11.6,shopfront,7.38,general_store/outdoor,6.45,loading_dock,11.6
911,카페_하이바다_996.jpg,restaurant_patio,32.93,beer_garden,21.56,promenade,20.94,restaurant_patio,32.93
912,카페_하이바다_997.jpg,restaurant_patio,19.03,promenade,10.34,pier,7.18,restaurant_patio,19.03
913,카페_하이바다_998.jpg,promenade,24.4,boardwalk,19.48,beach_house,8.44,promenade,24.4
914,카페_헤이든신씨어_1550.jpg,dam,31.69,valley,12.89,lake/natural,7.53,dam,31.69
915,칼국수_골목손칼국수_1829.jpg,shopfront,30.68,diner/outdoor,18.33,general_store/outdoor,16.01,shopfront,30.68
